huc12_code,huc12_name,huc10_name,n_observations,n_no3_readings,avg_no3_ppm,pct_no3_impaired,n_phos_readings,avg_orthophosphate_ppb,pct_phos_impaired,bank_erosion_flags,algal_bloom_flags,livestock_in_water_flags,pipe_drain_outflow_flags,trash_flags,fish_kill_flags,fish_barrier_flags,outlet_comid,downstream_huc12_count,downstream_trace_truncated,downstream_flow_miles
070500060402,Otter Creek,705000604,11,2,1.0,0.0,2,200.0,18.0,8,0,1,0,2,0,0,13098520,114,True,1799.8
070400030402,Little Waumaundee Creek,704000304,5,5,0.8,0.0,5,20.0,20.0,0,0,0,0,0,0,0,2118072,104,True,1724.9
070700051103,Hawkins Creek-Pine River,707000511,10,8,0.8,0.0,8,12.0,10.0,0,0,0,0,0,0,0,13634597,103,True,1689.1
070500051004,Burkhart Creek-Eau Galle Creek,705000510,20,13,0.8,0.0,14,36.0,25.0,1,0,1,0,0,0,1,13107827,109,True,1778.1
070300050907,Browns Creek,703000509,22,19,0.6,0.0,6,50.0,14.0,3,0,0,0,2,0,1,2649254,112,True,1816.2
070700051501,Upper Knapp Creek,707000515,7,7,0.6,0.0,6,0.0,0.0,0,0,0,0,0,0,0,13635203,98,True,1655.5
070200121110,Minnesota River,702001211,26,24,0.4,0.0,24,8.0,8.0,1,1,0,0,1,0,0,2386956,114,True,1821.5
070400010202,South Creek,704000102,5,3,0.0,0.0,4,100.0,80.0,0,0,0,0,0,0,0,1877101,110,True,1817.8
070200121106,Eagle Creek-Minnesota River,702001211,11,4,0.0,0.0,4,0.0,0.0,0,0,0,0,0,0,0,2387094,114,True,1834.2
070600040801,Headwaters Elk Creek,706000408,6,0,,0.0,5,200.0,83.0,0,0,0,0,0,0,2,13312901,94,True,1612.5
